Facility ID,Facility Name,Audience,Prompt Version,Performance Evidence,Context Evidence,Prompt,Prompt Tokens,Within Token Limit,Generated Narrative
220046,BERKSHIRE MEDICAL CENTER,Clinical,1,"Facility: BERKSHIRE MEDICAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.57 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.16 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.32 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Quietness: 1.00 Stars
      Cohort Mean: 2.78 | Higher is Better
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 6031.0 Device Days
    - CLABSI (ICU + select Wards): 1.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: BERKSHIRE MEDICAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.57 SD from cohort

  Key Measures:
    - CLABSI (ICU + select Wards): 0.16 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better
    - CAUTI (ICU + select Wards): 0.32 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Quietness: 1.00 Stars
      Cohort Mean: 2.78 | Higher is Better
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 6031.0 Device Days
    - CLABSI (ICU + select Wards): 1.0 Cases

Narrative:",299,True,CLABSI (ICU + select Wards): 6031.0 Device Days - CLABSI (ICU + select Wards): 1.0 Cases
220046,BERKSHIRE MEDICAL CENTER,Community Report,1,"Facility: BERKSHIRE MEDICAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.55 SD from cohort

  Key Measures:
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better
    - CLABSI (ICU + select Wards): 0.16 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Quietness: 1.00 Stars
      Cohort Mean: 2.78 | Higher is Better
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: BERKSHIRE MEDICAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.55 SD from cohort

  Key Measures:
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better
    - CLABSI (ICU + select Wards): 0.16 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Quietness: 1.00 Stars
      Cohort Mean: 2.78 | Higher is Better
    - Recommend hospital: 2.00 Stars
      Cohort Mean: 3.41 | Higher is Better

Narrative:",241,True,The BERKSHIRE MEDICAL CENTER has a better than the national benchmark in terms of Healthcare-Associated Infections.
360076,ATRIUM MEDICAL CENTER,Patient Friendly,1,"Facility: ATRIUM MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.80 SD from cohort

  Key Measures:
    - Septic Shock 3-Hour Bundle: 92.00 Percent
      Cohort Mean: 71.21 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 78.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better
    - Overall hospital rating: 2.00 Stars
      Cohort Mean: 2.99 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: ATRIUM MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.80 SD from cohort

  Key Measures:
    - Septic Shock 3-Hour Bundle: 92.00 Percent
      Cohort Mean: 71.21 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 78.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better
    - Overall hospital rating: 2.00 Stars
      Cohort Mean: 2.99 | Higher is Better

Narrative:",215,True,The ATRIUM MEDICAL CENTER is a hospital that provides timely and effective care. The hospital has a score of 0.80 SD from the cohort.
360076,ATRIUM MEDICAL CENTER,Executive Summary,1,"Facility: ATRIUM MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.80 SD from cohort

  Key Measures:
    - Septic Shock 3-Hour Bundle: 92.00 Percent
      Cohort Mean: 71.21 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 78.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better
    - Overall hospital rating: 2.00 Stars
      Cohort Mean: 2.99 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: ATRIUM MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.80 SD from cohort

  Key Measures:
    - Septic Shock 3-Hour Bundle: 92.00 Percent
      Cohort Mean: 71.21 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 78.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better
    - Overall hospital rating: 2.00 Stars
      Cohort Mean: 2.99 | Higher is Better

Narrative:",215,True,ATRIUM MEDICAL CENTER has a strong focus on timely and effective care. The hospital has a weak focus on patient satisfaction.
360076,ATRIUM MEDICAL CENTER,Clinical,1,"Facility: ATRIUM MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.80 SD from cohort

  Key Measures:
    - Septic Shock 3-Hour Bundle: 92.00 Percent
      Cohort Mean: 71.21 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 78.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better
    - Overall hospital rating: 2.00 Stars
      Cohort Mean: 2.99 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 4067.0 Device Days
    - CLABSI (ICU + select Wards): 1.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: ATRIUM MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.80 SD from cohort

  Key Measures:
    - Septic Shock 3-Hour Bundle: 92.00 Percent
      Cohort Mean: 71.21 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 78.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better
    - Overall hospital rating: 2.00 Stars
      Cohort Mean: 2.99 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 4067.0 Device Days
    - CLABSI (ICU + select Wards): 1.0 Cases

Narrative:",265,True,Healthcare-Associated Infections - CLABSI (ICU + select Wards): 4067.0 Device Days - CLABSI (ICU + select Wards): 1.0 Cases
360076,ATRIUM MEDICAL CENTER,Community Report,1,"Facility: ATRIUM MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.80 SD from cohort

  Key Measures:
    - Septic Shock 3-Hour Bundle: 92.00 Percent
      Cohort Mean: 71.21 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 78.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better
    - Overall hospital rating: 2.00 Stars
      Cohort Mean: 2.99 | Higher is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: ATRIUM MEDICAL CENTER

Strengths:
  Timely and Effective Care
  Relative Performance: 0.80 SD from cohort

  Key Measures:
    - Septic Shock 3-Hour Bundle: 92.00 Percent
      Cohort Mean: 71.21 | Higher is Better
    - Severe Sepsis and Septic Shock Care: 78.00 Percent
      Cohort Mean: 62.75 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better
    - Overall hospital rating: 2.00 Stars
      Cohort Mean: 2.99 | Higher is Better

Narrative:",210,True,The ATRIUM MEDICAL CENTER is a hospital that provides timely and effective care. The hospital has a score of 0.80 SD from the cohort.
390145,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,Patient Friendly,1,"Facility: EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.18 SD from cohort

  Key Measures:
    - ED Time - Transfer Patients: 214.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Head CT Results Within 45 Minutes: 83.00 Percent
      Cohort Mean: 71.46 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 1.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Doctor communication: 2.00 Stars
      Cohort Mean: 2.97 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.18 SD from cohort

  Key Measures:
    - ED Time - Transfer Patients: 214.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Head CT Results Within 45 Minutes: 83.00 Percent
      Cohort Mean: 71.46 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 1.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Doctor communication: 2.00 Stars
      Cohort Mean: 2.97 | Higher is Better

Narrative:",217,True,The EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL is a hospital that provides quality care. The hospital has a low ED wait time and a high rate of head CT results within 45 minutes. The hospital has a low doctor communication rate.
390145,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,Executive Summary,1,"Facility: EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.18 SD from cohort

  Key Measures:
    - ED Time - Transfer Patients: 214.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Head CT Results Within 45 Minutes: 83.00 Percent
      Cohort Mean: 71.46 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 1.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Doctor communication: 2.00 Stars
      Cohort Mean: 2.97 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.18 SD from cohort

  Key Measures:
    - ED Time - Transfer Patients: 214.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Head CT Results Within 45 Minutes: 83.00 Percent
      Cohort Mean: 71.46 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 1.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Doctor communication: 2.00 Stars
      Cohort Mean: 2.97 | Higher is Better

Narrative:",217,True,The EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL is a hospital with strengths in timely and effective care and weaknesses in patient satisfaction.
390145,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,Clinical,1,"Facility: EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.75 SD from cohort

  Key Measures:
    - CAUTI (ICU + select Wards): 0.13 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better
    - CLABSI (ICU + select Wards): 0.20 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 1.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Doctor communication: 2.00 Stars
      Cohort Mean: 2.97 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 4595.0 Device Days
    - CLABSI (ICU + select Wards): 1.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL

Strengths:
  Healthcare-Associated Infections
  Overall: Better than the National Benchmark
  Relative Performance: 0.75 SD from cohort

  Key Measures:
    - CAUTI (ICU + select Wards): 0.13 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.50 | Lower is Better
    - CLABSI (ICU + select Wards): 0.20 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.55 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 1.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Doctor communication: 2.00 Stars
      Cohort Mean: 2.97 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 4595.0 Device Days
    - CLABSI (ICU + select Wards): 1.0 Cases

Narrative:",304,True,Healthcare-Associated Infections - CLABSI (ICU + select Wards): 4595.0 Device Days - CLABSI (ICU + select Wards): 1.0 Cases
390145,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,Community Report,1,"Facility: EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.18 SD from cohort

  Key Measures:
    - ED Time - Transfer Patients: 214.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Head CT Results Within 45 Minutes: 83.00 Percent
      Cohort Mean: 71.46 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 1.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Doctor communication: 2.00 Stars
      Cohort Mean: 2.97 | Higher is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL

Strengths:
  Timely and Effective Care
  Relative Performance: 0.18 SD from cohort

  Key Measures:
    - ED Time - Transfer Patients: 214.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Head CT Results Within 45 Minutes: 83.00 Percent
      Cohort Mean: 71.46 | Higher is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Cleanliness: 1.00 Stars
      Cohort Mean: 3.00 | Higher is Better
    - Doctor communication: 2.00 Stars
      Cohort Mean: 2.97 | Higher is Better

Narrative:",212,True,The EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL is a community hospital with a high level of patient satisfaction.
050498,SUTTER AUBURN FAITH HOSPITAL,Patient Friendly,1,"Facility: SUTTER AUBURN FAITH HOSPITAL

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 1.19 SD from cohort

  Key Measures:
    - Clostridium Difficile: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - ED Time - Transfer Patients: 436.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Septic Shock 6-Hour Bundle: 83.00 Percent
      Cohort Mean: 85.81 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SUTTER AUBURN FAITH HOSPITAL

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 1.19 SD from cohort

  Key Measures:
    - Clostridium Difficile: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - ED Time - Transfer Patients: 436.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Septic Shock 6-Hour Bundle: 83.00 Percent
      Cohort Mean: 85.81 | Higher is Better

Narrative:",260,True,"The SUTTER AUBURN FAITH HOSPITAL has a low number of Healthcare-Associated Infections, but a high number of Healthcare-Associated Infections. The hospital has a low ED time and a high number of Septic Shock 6-Hour Bundles."
050498,SUTTER AUBURN FAITH HOSPITAL,Executive Summary,1,"Facility: SUTTER AUBURN FAITH HOSPITAL

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 1.19 SD from cohort

  Key Measures:
    - Clostridium Difficile: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - ED Time - Transfer Patients: 436.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Septic Shock 6-Hour Bundle: 83.00 Percent
      Cohort Mean: 85.81 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SUTTER AUBURN FAITH HOSPITAL

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 1.19 SD from cohort

  Key Measures:
    - Clostridium Difficile: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - ED Time - Transfer Patients: 436.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Septic Shock 6-Hour Bundle: 83.00 Percent
      Cohort Mean: 85.81 | Higher is Better

Narrative:",260,True,SUTTER AUBURN FAITH HOSPITAL has a strong focus on Healthcare-Associated Infections. The hospital has a strong focus on Healthcare-Associated Infections. The hospital has a weak focus on timely and effective care.
050498,SUTTER AUBURN FAITH HOSPITAL,Clinical,1,"Facility: SUTTER AUBURN FAITH HOSPITAL

Strengths:
  Patient Survey
  Relative Performance: 1.14 SD from cohort

  Key Measures:
    - Communication about medicines: 4.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Recommend hospital: 5.00 Stars
      Cohort Mean: 3.41 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - ED Time - Transfer Patients: 436.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Septic Shock 6-Hour Bundle: 83.00 Percent
      Cohort Mean: 85.81 | Higher is Better","Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 1852.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases","Rewrite the hospital information for healthcare professionals. Use appropriate clinical terminology, retain measure-specific detail, and report quantitative comparisons precisely. Do not infer causation or statistical significance. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SUTTER AUBURN FAITH HOSPITAL

Strengths:
  Patient Survey
  Relative Performance: 1.14 SD from cohort

  Key Measures:
    - Communication about medicines: 4.00 Stars
      Cohort Mean: 2.25 | Higher is Better
    - Recommend hospital: 5.00 Stars
      Cohort Mean: 3.41 | Higher is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - ED Time - Transfer Patients: 436.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Septic Shock 6-Hour Bundle: 83.00 Percent
      Cohort Mean: 85.81 | Higher is Better

Supporting Context:
Context:
  Healthcare-Associated Infections
    - CLABSI (ICU + select Wards): 1852.0 Device Days
    - CLABSI (ICU + select Wards): 0.0 Cases

Narrative:",266,True,Healthcare-Associated Infections - CLABSI (ICU + select wards): 1852 Device Days - CLABSI (ICU + select wards): 0.0 Cases
050498,SUTTER AUBURN FAITH HOSPITAL,Community Report,1,"Facility: SUTTER AUBURN FAITH HOSPITAL

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 1.19 SD from cohort

  Key Measures:
    - Clostridium Difficile: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - ED Time - Transfer Patients: 436.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Septic Shock 6-Hour Bundle: 83.00 Percent
      Cohort Mean: 85.81 | Higher is Better",,"Rewrite the hospital information for a public community report. Use accessible, neutral language and explain the main strengths and weaknesses without technical detail. Preserve all important numerical facts. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: SUTTER AUBURN FAITH HOSPITAL

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 1.19 SD from cohort

  Key Measures:
    - Clostridium Difficile: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better
    - SSI (Colon Surgery): 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.83 | Lower is Better

Weaknesses:
  Timely and Effective Care

  Key Measures:
    - ED Time - Transfer Patients: 436.00 Minutes
      Cohort Mean: 357.59 | Lower is Better
    - Septic Shock 6-Hour Bundle: 83.00 Percent
      Cohort Mean: 85.81 | Higher is Better

Narrative:",255,True,The SUTTER AUBURN FAITH HOSPITAL has a high rate of Healthcare-Associated Infections. The hospital has a low rate of timely and effective care.
490107,RESTON HOSPITAL CENTER,Patient Friendly,1,"Facility: RESTON HOSPITAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.41 SD from cohort

  Key Measures:
    - MRSA Bacteremia: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better
    - Clostridium Difficile: 0.18 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better",,"Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language, short sentences, and explain unfamiliar terms simply. Preserve all numbers, comparisons, and performance meaning. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: RESTON HOSPITAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.41 SD from cohort

  Key Measures:
    - MRSA Bacteremia: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better
    - Clostridium Difficile: 0.18 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Narrative:",234,True,The Reson Hospital Center has a low number of Healthcare-Associated Infections.
490107,RESTON HOSPITAL CENTER,Executive Summary,1,"Facility: RESTON HOSPITAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.41 SD from cohort

  Key Measures:
    - MRSA Bacteremia: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better
    - Clostridium Difficile: 0.18 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better",,"Rewrite the hospital information as a concise executive briefing for hospital leadership. Prioritize the strongest domain, major risks, and the most important benchmark comparisons. Preserve all quantitative evidence. Use contextual measures only as supporting information, not as indicators of performance. Use only the evidence provided.

Performance Evidence:
Facility: RESTON HOSPITAL CENTER

Strengths:
  Healthcare-Associated Infections
  Overall: No Different than National Benchmark
  Relative Performance: 0.41 SD from cohort

  Key Measures:
    - MRSA Bacteremia: 0.00 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.69 | Lower is Better
    - Clostridium Difficile: 0.18 Ratio (Observed/Predicted Cases)
      Cohort Mean: 0.34 | Lower is Better

Weaknesses:
  Patient Survey

  Key Measures:
    - Discharge information: 2.00 Stars
      Cohort Mean: 3.10 | Higher is Better
    - Nurse communication: 2.00 Stars
      Cohort Mean: 3.03 | Higher is Better

Narrative:",234,True,RESTON HOSPITAL CENTER is a hospital with a high number of Healthcare-Associated Infections (HAIs) and a low number of Healthcare-Associated Infections (HAIs). The hospital has a high number of Healthcare-Associated Infections (HAIs) and a low number of Healthcare-Associated Infections (HAIs).
