Split,Facility ID,Facility Name,Domain,Communication Style,Prompt Version,Prepared Narrative,Prompt,Prompt Token Count,Generated Narrative,Generation Seconds,Flesch Reading Ease,Numeric Recall,Numeric Precision,Direction Recall,Generated Words,Compression Ratio
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Community Report,2,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Create a community-facing summary of the hospital performance results. Keep the tone balanced and understandable for the general public. Do not exaggerate strengths or weaknesses.
Prioritize these measures and metrics when available: overall score, overall performance, strongest area, main opportunity.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",130,"Write a summary of the hospital performance. Describe the strengths and weaknesses of each area. Highlight the areas of greatest opportunity. Write the summary in the following format: Include the patient experience score, percentile rank, and summary rating.",11.398357700003544,43.57671052631579,0.0,0.0,0.0,38,0.8837209302325582
Training,390231,JEFFERSON ABINGTON HOSPITAL,Patient Survey,Community Report,3,"Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.","Translate the hospital information into a short public hospital report. Use clear nontechnical language, identify important comparisons, and preserve all factual values and performance directions.
Prioritize these measures and metrics when available: overall score, overall performance, strongest area, main opportunity.
Preserve all numerical values and performance directions.

Hospital Information:
Patient experience performed below average overall, with a summary rating of 2.0 stars and a percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness - star rating was a relative opportunity at 1.0 stars.

Summary:",131,"Patient experience performed below average overall, with a summary rating of 2.0 stars and percentile rank of 25. The strongest area was Nurse communication - star rating at 3.0 stars, while Cleanliness – Star rating was rated relative opportunity at 1.0 stars.",13.23242559999926,39.72700000000003,1.0,1.0,1.0,42,0.9767441860465116
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Patient Friendly,1,"For Central Line Associated Bloodstream Infection, the hospital had fewer infections than predicted. For Catheter Associated Urinary Tract Infections, the hospital had fewer infections than predicted. For SSI - Colon Surgery, the hospital had fewer infections than predicted. For SSI - Abdominal Hysterectomy, the hospital had more infections than predicted. For MRSA Bacteremia, the hospital had fewer infections than predicted. For Clostridium Difficile (C.Diff), the hospital had fewer infections than predicted.","Rewrite the hospital information for a patient with no healthcare background. Use plain everyday language and short sentences. Preserve all numbers and performance directions.
Prioritize these measures and metrics when available: infection name, SIR, fewer or more infections than predicted.
Preserve all numerical values and performance directions.

Hospital Information:
For Central Line Associated Bloodstream Infection, the hospital had fewer infections than predicted. For Catheter Associated Urinary Tract Infections, the hospital had fewer infections than predicted. For SSI - Colon Surgery, the hospital had fewer infections than predicted. For SSI - Abdominal Hysterectomy, the hospital had more infections than predicted. For MRSA Bacteremia, the hospital had fewer infections than predicted. For Clostridium Difficile (C.Diff), the hospital had fewer infections than predicted.

Summary:",194,"For Central Line Associated Bloodstream Infection, the hospital had fewer infections than predicted. For Catheter associated Urinary Tract infections, there was a decrease in the number of infections.",10.773012900011963,23.42500000000001,1.0,1.0,1.0,28,0.39436619718309857
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Patient Friendly,2,"For Central Line Associated Bloodstream Infection, the hospital had fewer infections than predicted. For Catheter Associated Urinary Tract Infections, the hospital had fewer infections than predicted. For SSI - Colon Surgery, the hospital had fewer infections than predicted. For SSI - Abdominal Hysterectomy, the hospital had more infections than predicted. For MRSA Bacteremia, the hospital had fewer infections than predicted. For Clostridium Difficile (C.Diff), the hospital had fewer infections than predicted.","Explain the hospital information as if speaking to a patient choosing where to receive care. Avoid technical jargon and make each result easy to understand. Do not add facts or change statistics.
Prioritize these measures and metrics when available: infection name, SIR, fewer or more infections than predicted.
Preserve all numerical values and performance directions.

Hospital Information:
For Central Line Associated Bloodstream Infection, the hospital had fewer infections than predicted. For Catheter Associated Urinary Tract Infections, the hospital had fewer infections than predicted. For SSI - Colon Surgery, the hospital had fewer infections than predicted. For SSI - Abdominal Hysterectomy, the hospital had more infections than predicted. For MRSA Bacteremia, the hospital had fewer infections than predicted. For Clostridium Difficile (C.Diff), the hospital had fewer infections than predicted.

Summary:",202,Explain the results in a clear and concise manner. Identify the most important performance metrics. List the hospital's performance in each of the following performance categories: Describe the infection types and severity.,8.90078869998979,34.160909090909115,1.0,1.0,1.0,32,0.4507042253521127
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Patient Friendly,3,"For Central Line Associated Bloodstream Infection, the hospital had fewer infections than predicted. For Catheter Associated Urinary Tract Infections, the hospital had fewer infections than predicted. For SSI - Colon Surgery, the hospital had fewer infections than predicted. For SSI - Abdominal Hysterectomy, the hospital had more infections than predicted. For MRSA Bacteremia, the hospital had fewer infections than predicted. For Clostridium Difficile (C.Diff), the hospital had fewer infections than predicted.","Translate the hospital information into clear patient-friendly language. Focus on what the results mean, use simple wording, and preserve all numbers and performance interpretations.
Prioritize these measures and metrics when available: infection name, SIR, fewer or more infections than predicted.
Preserve all numerical values and performance directions.

Hospital Information:
For Central Line Associated Bloodstream Infection, the hospital had fewer infections than predicted. For Catheter Associated Urinary Tract Infections, the hospital had fewer infections than predicted. For SSI - Colon Surgery, the hospital had fewer infections than predicted. For SSI - Abdominal Hysterectomy, the hospital had more infections than predicted. For MRSA Bacteremia, the hospital had fewer infections than predicted. For Clostridium Difficile (C.Diff), the hospital had fewer infections than predicted.

Summary:",196,"The hospital had fewer infections than predicted for Central Line Associated Bloodstream Infection, Catheter Acquired UTIs, SSI - Colon Surgery, MRSA Bacteremia, Clostridium Difficile (C.Diff).",12.980604700002004,11.411500000000018,1.0,1.0,1.0,25,0.352112676056338
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Executive Summary,1,"Central Line Associated Bloodstream Infection had an SIR of 0.60 with 11 observed cases, indicating fewer infections than predicted. Catheter Associated Urinary Tract Infections had an SIR of 0.30 with 8 observed cases, indicating fewer infections than predicted. SSI - Colon Surgery had an SIR of 0.74 with 7 observed cases, indicating fewer infections than predicted. SSI - Abdominal Hysterectomy had an SIR of 1.32 with 4 observed cases, indicating more infections than predicted. MRSA Bacteremia had an SIR of 0.73 with 8 observed cases, indicating fewer infections than predicted. Clostridium Difficile (C.Diff) had an SIR of 0.52 with 45 observed cases, indicating fewer infections than predicted.","Rewrite the hospital information as an executive summary for hospital leadership. Prioritize major strengths, weaknesses, and benchmark comparisons. Preserve all numerical values.
Prioritize these measures and metrics when available: infection name, SIR, observed cases, device days or patient days, number of procedures, performance.
Preserve all numerical values and performance directions.

Hospital Information:
Central Line Associated Bloodstream Infection had an SIR of 0.60 with 11 observed cases, indicating fewer infections than predicted. Catheter Associated Urinary Tract Infections had an SIR of 0.30 with 8 observed cases, indicating fewer infections than predicted. SSI - Colon Surgery had an SIR of 0.74 with 7 observed cases, indicating fewer infections than predicted. SSI - Abdominal Hysterectomy had an SIR of 1.32 with 4 observed cases, indicating more infections than predicted. MRSA Bacteremia had an SIR of 0.73 with 8 observed cases, indicating fewer infections than predicted. Clostridium Difficile (C.Diff) had an SIR of 0.52 with 45 observed cases, indicating fewer infections than predicted.

Summary:",258,"Rewrite the hospital information as an executive summary for hospital leadership. Prioritize major strengths, weaknesses, and benchmark comparisons. Preserve all numerical values and performance directions for each measure and metrics.",10.347878899992793,13.38500000000002,0.0,0.0,1.0,30,0.2803738317757009
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Executive Summary,2,"Central Line Associated Bloodstream Infection had an SIR of 0.60 with 11 observed cases, indicating fewer infections than predicted. Catheter Associated Urinary Tract Infections had an SIR of 0.30 with 8 observed cases, indicating fewer infections than predicted. SSI - Colon Surgery had an SIR of 0.74 with 7 observed cases, indicating fewer infections than predicted. SSI - Abdominal Hysterectomy had an SIR of 1.32 with 4 observed cases, indicating more infections than predicted. MRSA Bacteremia had an SIR of 0.73 with 8 observed cases, indicating fewer infections than predicted. Clostridium Difficile (C.Diff) had an SIR of 0.52 with 45 observed cases, indicating fewer infections than predicted.","Summarize the hospital information for an executive audience. Use professional, direct language and emphasize performance relative to comparison groups. Keep all quantitative evidence unchanged.
Prioritize these measures and metrics when available: infection name, SIR, observed cases, device days or patient days, number of procedures, performance.
Preserve all numerical values and performance directions.

Hospital Information:
Central Line Associated Bloodstream Infection had an SIR of 0.60 with 11 observed cases, indicating fewer infections than predicted. Catheter Associated Urinary Tract Infections had an SIR of 0.30 with 8 observed cases, indicating fewer infections than predicted. SSI - Colon Surgery had an SIR of 0.74 with 7 observed cases, indicating fewer infections than predicted. SSI - Abdominal Hysterectomy had an SIR of 1.32 with 4 observed cases, indicating more infections than predicted. MRSA Bacteremia had an SIR of 0.73 with 8 observed cases, indicating fewer infections than predicted. Clostridium Difficile (C.Diff) had an SIR of 0.52 with 45 observed cases, indicating fewer infections than predicted.

Summary:",255,Prepare a summary of the hospital information for the executive audience. Describe the performance of each infection. Provide measurable performance metrics. Include the following metrics in the summary: Identify the most common infections.,10.451474500005133,24.133977272727293,0.0,0.0,1.0,33,0.308411214953271
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Executive Summary,3,"Central Line Associated Bloodstream Infection had an SIR of 0.60 with 11 observed cases, indicating fewer infections than predicted. Catheter Associated Urinary Tract Infections had an SIR of 0.30 with 8 observed cases, indicating fewer infections than predicted. SSI - Colon Surgery had an SIR of 0.74 with 7 observed cases, indicating fewer infections than predicted. SSI - Abdominal Hysterectomy had an SIR of 1.32 with 4 observed cases, indicating more infections than predicted. MRSA Bacteremia had an SIR of 0.73 with 8 observed cases, indicating fewer infections than predicted. Clostridium Difficile (C.Diff) had an SIR of 0.52 with 45 observed cases, indicating fewer infections than predicted.","Create a brief leadership-level performance summary. Highlight areas performing above and below benchmark while retaining the exact numerical findings.
Prioritize these measures and metrics when available: infection name, SIR, observed cases, device days or patient days, number of procedures, performance.
Preserve all numerical values and performance directions.

Hospital Information:
Central Line Associated Bloodstream Infection had an SIR of 0.60 with 11 observed cases, indicating fewer infections than predicted. Catheter Associated Urinary Tract Infections had an SIR of 0.30 with 8 observed cases, indicating fewer infections than predicted. SSI - Colon Surgery had an SIR of 0.74 with 7 observed cases, indicating fewer infections than predicted. SSI - Abdominal Hysterectomy had an SIR of 1.32 with 4 observed cases, indicating more infections than predicted. MRSA Bacteremia had an SIR of 0.73 with 8 observed cases, indicating fewer infections than predicted. Clostridium Difficile (C.Diff) had an SIR of 0.52 with 45 observed cases, indicating fewer infections than predicted.

Summary:",250,"Highlight areas performing above and below benchmark while retaining the exact numerical findings. Prioritize these measures and metrics when available: infection name, SIR, observed cases, device days or patient days, number of procedures, performance.",10.172214200007147,20.380000000000024,0.0,0.0,1.0,34,0.3177570093457944
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Clinical,1,"Central Line Associated Bloodstream Infection, SIR 0.602, 11 observed cases, 17212 device days, fewer infections than predicted. Catheter Associated Urinary Tract Infections, SIR 0.305, 8 observed cases, 18209 device days, fewer infections than predicted. SSI - Colon Surgery, SIR 0.736, 7 observed cases, 354 procedures, fewer infections than predicted. SSI - Abdominal Hysterectomy, SIR 1.321, 4 observed cases, 340 procedures, more infections than predicted. MRSA Bacteremia, SIR 0.731, 8 observed cases, 183957 patient days, fewer infections than predicted. Clostridium Difficile (C.Diff), SIR 0.517, 45 observed cases, 165080 patient days, fewer infections than predicted.","Rewrite the hospital information for a healthcare professional audience. Maintain appropriate clinical terminology, report quantitative performance precisely, and do not add unsupported conclusions.
Prioritize these measures and metrics when available: infection name, SIR, observed cases, device days or patient days, number of procedures, performance.
Preserve all numerical values and performance directions.

Hospital Information:
Central Line Associated Bloodstream Infection, SIR 0.602, 11 observed cases, 17212 device days, fewer infections than predicted. Catheter Associated Urinary Tract Infections, SIR 0.305, 8 observed cases, 18209 device days, fewer infections than predicted. SSI - Colon Surgery, SIR 0.736, 7 observed cases, 354 procedures, fewer infections than predicted. SSI - Abdominal Hysterectomy, SIR 1.321, 4 observed cases, 340 procedures, more infections than predicted. MRSA Bacteremia, SIR 0.731, 8 observed cases, 183957 patient days, fewer infections than predicted. Clostridium Difficile (C.Diff), SIR 0.517, 45 observed cases, 165080 patient days, fewer infections than predicted.

Summary:",266,"Central Line Associated Bloodstream Infection, SIR 0.602, 11 observed cases, 17212 device days, fewer infections than predicted. Catheter  associated Urinary Tract Injuries, Severity 0.731, 8 observed patients, 183957 patient days. Clostridium Difficile (C.Diff), SID 0.517, 45 observed case, 165080 patient day.",18.224852999992436,14.904545454545485,0.5,1.0,1.0,41,0.44086021505376344
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Clinical,2,"Central Line Associated Bloodstream Infection, SIR 0.602, 11 observed cases, 17212 device days, fewer infections than predicted. Catheter Associated Urinary Tract Infections, SIR 0.305, 8 observed cases, 18209 device days, fewer infections than predicted. SSI - Colon Surgery, SIR 0.736, 7 observed cases, 354 procedures, fewer infections than predicted. SSI - Abdominal Hysterectomy, SIR 1.321, 4 observed cases, 340 procedures, more infections than predicted. MRSA Bacteremia, SIR 0.731, 8 observed cases, 183957 patient days, fewer infections than predicted. Clostridium Difficile (C.Diff), SIR 0.517, 45 observed cases, 165080 patient days, fewer infections than predicted.","Present the hospital information in a clinical style. Retain measure names, numerical values, and performance direction. Do not infer causation or statistical significance.
Prioritize these measures and metrics when available: infection name, SIR, observed cases, device days or patient days, number of procedures, performance.
Preserve all numerical values and performance directions.

Hospital Information:
Central Line Associated Bloodstream Infection, SIR 0.602, 11 observed cases, 17212 device days, fewer infections than predicted. Catheter Associated Urinary Tract Infections, SIR 0.305, 8 observed cases, 18209 device days, fewer infections than predicted. SSI - Colon Surgery, SIR 0.736, 7 observed cases, 354 procedures, fewer infections than predicted. SSI - Abdominal Hysterectomy, SIR 1.321, 4 observed cases, 340 procedures, more infections than predicted. MRSA Bacteremia, SIR 0.731, 8 observed cases, 183957 patient days, fewer infections than predicted. Clostridium Difficile (C.Diff), SIR 0.517, 45 observed cases, 165080 patient days, fewer infections than predicted.

Summary:",271,"Present the hospital information in a clear, concise, and concise manner. Identify the measures and metrics that are most important to the reader. List the patient days, device days and device infections.",8.770570199994836,50.602083333333354,0.0,0.0,1.0,32,0.34408602150537637
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Clinical,3,"Central Line Associated Bloodstream Infection, SIR 0.602, 11 observed cases, 17212 device days, fewer infections than predicted. Catheter Associated Urinary Tract Infections, SIR 0.305, 8 observed cases, 18209 device days, fewer infections than predicted. SSI - Colon Surgery, SIR 0.736, 7 observed cases, 354 procedures, fewer infections than predicted. SSI - Abdominal Hysterectomy, SIR 1.321, 4 observed cases, 340 procedures, more infections than predicted. MRSA Bacteremia, SIR 0.731, 8 observed cases, 183957 patient days, fewer infections than predicted. Clostridium Difficile (C.Diff), SIR 0.517, 45 observed cases, 165080 patient days, fewer infections than predicted.","Convert the hospital information into a professional clinical performance narrative. Preserve the reported scores and performance classifications for every included measure.
Prioritize these measures and metrics when available: infection name, SIR, observed cases, device days or patient days, number of procedures, performance.
Preserve all numerical values and performance directions.

Hospital Information:
Central Line Associated Bloodstream Infection, SIR 0.602, 11 observed cases, 17212 device days, fewer infections than predicted. Catheter Associated Urinary Tract Infections, SIR 0.305, 8 observed cases, 18209 device days, fewer infections than predicted. SSI - Colon Surgery, SIR 0.736, 7 observed cases, 354 procedures, fewer infections than predicted. SSI - Abdominal Hysterectomy, SIR 1.321, 4 observed cases, 340 procedures, more infections than predicted. MRSA Bacteremia, SIR 0.731, 8 observed cases, 183957 patient days, fewer infections than predicted. Clostridium Difficile (C.Diff), SIR 0.517, 45 observed cases, 165080 patient days, fewer infections than predicted.

Summary:",264,"Convert the hospital information into a professional clinical performance narrative. Preserve the reported scores and performance classifications for every included measure. Prioritize these measures and metrics when available: infection name, SIR, observed cases, device days or patient days, number of procedures, performance.",11.687791400006972,5.296428571428578,0.0,0.0,1.0,42,0.45161290322580644
Training,390231,JEFFERSON ABINGTON HOSPITAL,Healthcare-Associated Infections,Community Report,1,"Central Line Associated Bloodstream Infection had an SIR of 0.60, indicating fewer infections than predicted. Catheter Associated Urinary Tract Infections had an SIR of 0.30, indicating fewer infections than predicted. SSI - Colon Surgery had an SIR of 0.74, indicating fewer infections than predicted. SSI - Abdominal Hysterectomy had an SIR of 1.32, indicating more infections than predicted. MRSA Bacteremia had an SIR of 0.73, indicating fewer infections than predicted. Clostridium Difficile (C.Diff) had an SIR of 0.52, indicating fewer infections than predicted.","Rewrite the hospital information for a public community report. Use accessible, neutral, and informative language while preserving all numerical facts.
Prioritize these measures and metrics when available: infection name, SIR, observed cases, fewer or more infections than predicted.
Preserve all numerical values and performance directions.

Hospital Information:
Central Line Associated Bloodstream Infection had an SIR of 0.60, indicating fewer infections than predicted. Catheter Associated Urinary Tract Infections had an SIR of 0.30, indicating fewer infections than predicted. SSI - Colon Surgery had an SIR of 0.74, indicating fewer infections than predicted. SSI - Abdominal Hysterectomy had an SIR of 1.32, indicating more infections than predicted. MRSA Bacteremia had an SIR of 0.73, indicating fewer infections than predicted. Clostridium Difficile (C.Diff) had an SIR of 0.52, indicating fewer infections than predicted.

Summary:",224,"The hospital reported fewer Central Line Associated Bloodstream Infections than predicted. The SSI - Colon Surgery infection had an SIR of 0.74, indicating more infections than expected.",12.010992600000463,25.792666666666662,0.16666666666666666,1.0,1.0,27,0.3253012048192771
